baltimoreclipper,39.24,
markfair,38.63,
andym,38.15,
bwalton,37.98,
robert0915,36.87,
jgraton,36.81,
schultzy,36.78,
jpidarts,36.68,
chrisg,36.21,
billyj,35.18,
allenjohnson,35.17,
cmrath,35.01,
emily,34.97,
wed190,34.81,
sidney,34.62,
mmensinger,34.58,
rlweevo8,34.22,
jjjamriska,34.08,
pvelenger,34.08,
lukelee,33.71,
cashkutz77,33.63,
cdouthat,33.49,
markkoldesko,33.45,
edshoepe,33.16,
ixnay1039,32.83,
spricket,32.68,
jdaddio,32.59,
craigh,32.23,
gyver,32.19,
unkie,32.02,
jimkinee,31.8,
skinny,31.73,
carolinakid,31.68,
billeast,31.48,
boibbymac,31.43,
mikeeee,31.23,
khos,31.14,
rushed55,31.07,
rohlfing04,31,
weldprorp1,30.95,
buckslayer33,30.88,
elizabeth,30.75,
curtis79,30.68,
halstorm,30.62,
jranold05,30.59,
yamblaster200,30.45,
skrzat,30.17,
frog,30.01,
jdub,29.96,
repodart,29.92,
armock,29.81,
salanga,29.78,
grimct,29.67,
villain,29.66,
deleonibus,29.44,
edb,29.37,
tomwilliamson,28.89,
cowboy0927,28.8,
bblake,28.78,
robbie,28.73,
j2206,28.37,
joej,28.36,
haas,28.31,
drew1191,27.96,
sski,27.79,
kostura14,27.78,
davidhickman,27.74,
silenttd,27.57,
alanl,27.46,
pauliej,27.46,
parker,27.4,
michelles,27.34,
lamato,27.17,
bobt,26.79,
jim2529,26.69,
bhughes,26.61,
hendog72,26.36,
figgy,26.11,
jeffgaiggs,25.96,
houdini,25.81,
walton17535,25.66,
shawnee,25.5,
toolbox,25.31,
danka93,24.7,
anna,24.69,
jimmie,24.26,
billkinee,24.05,
scottyw12,24.02,
joshmeyer,23.75,
tomblake,23.71,
fginder,23.41,
champs8008,23.4,
rlutz28,23.2,
dartbitch,22.83,
thurnis,22.42,
davebyer,22.31,
erock666,22.18,
ryanlutz28,22.09,
highman,21.92,
kate314,21.87,
kimg,21.84,
bobbylite,21.83,
crash1031,21.63,
yanni,21.36,
wzv100,21.28,
kevinb,20.77,
mylinda,20.3,
dj9999,20.14,
milkmantim,20.13,
bfiorani,20.05,
megzy07,19.46,
mparks,19.33,
filsis,19.31,
bjamin18,19.06,
hayleysaint,19.02,
ambrogis,18.55,
jamies,18.39,
jayperez,18.27,
swetness,17.93,
matto,17.54,
mickihughes,17.25,
lynda,17.25,
lils,17.18,
squidman,16.48,
xginealachbb,16.39,
chris1123,16.03,
jrock410,15.47,
msnyder76,14.96,
chrissy1215,14.94,
laurenmannion,14.45,
jmp41484,14.24,
godshall,14.22,
rachel89,14.19,
kinger,14.09,
capozzi,12.76,
dylan,10.72,
lynda,,1.18
laurenmannion,,1.3
msnyder76,,1.43
zelda,,1.44
lils,,1.57
wzv100,,1.59
capozzi,,1.59
champs8008,,1.6
jamies,,1.61
knobl972,,1.65
chrissy1215,,1.67
kimg,,1.71
xginealachbb,,1.71
matto,,1.75
erock666,,1.78
jayperez,,1.78
briantulish,,1.82
megzy07,,1.82
hayleysaint,,1.83
kevinb,,1.86
bjamin18,,1.86
mylinda,,1.91
shawnee,,1.92
jmp41484,,1.93
davebyer,,1.99
rachel89,,2.08
fginder,,2.12
dballebach,,2.12
burnout420,,2.18
wcjames,,2.22
kate314,,2.29
swetness,,2.3
ambrogis,,2.33
tomblake,,2.33
dgoetter,,2.34
houdini,,2.35
silenttd,,2.35
toolbox,,2.41
ktallebach,,2.41
armock,,2.42
bfiorani,,2.42
ryandavis,,2.45
parker,,2.45
thurnis,,2.45
scottyw12,,2.47
robbie,,2.5
bobbylite,,2.52
mparks,,2.55
knightni,,2.59
frog,,2.62
anna,,2.63
yanni,,2.66
jimkinee,,2.7
figgy,,2.74
curtis79,,2.79
hendog72,,2.79
tomwilliamson,,2.8
kostura14,,2.82
gooch81,,2.84
drew1191,,2.84
mickihughes,,2.84
jimmie,,2.87
highman,,2.91
michelles,,2.92
skrzat,,2.95
halstorm,,2.97
joej,,3.04
jrock410,,3.05
jim2529,,3.06
dartbitch,,3.06
pauliej,,3.08
bblake,,3.14
rlutz28,,3.15
walton17535,,3.16
crash1031,,3.17
cdouthat,,3.21
deleonibus,,3.3
allenjohnson,,3.31
boibbymac,,3.32
yamblaster200,,3.33
sski,,3.33
danka93,,3.34
alanl,,3.35
cashkutz77,,3.36
cowboy0927,,3.36
j2206,,3.37
jdub,,3.38
grimct,,3.4
repodart,,3.42
mikeeee,,3.44
edb,,3.49
salanga,,3.52
davidhickman,,3.59
joshmeyer,,3.62
villain,,3.62
jdaddio,,3.64
rushed55,,3.65
lamato,,3.65
jeffgaiggs,,3.66
stevek,,3.69
khos,,3.7
wed190,,3.72
weldprorp1,,3.75
jranold05,,3.77
robert0915,,3.81
billeast,,3.82
ixnay1039,,3.84
bud,,3.85
danb,,3.89
jjjamriska,,3.92
unkie,,3.94
elizabeth,,3.96
buckslayer33,,3.98
lukelee,,3.99
sidney,,4.06
fjb15425,,4.07
jgraton,,4.13
pvelenger,,4.13
markkoldesko,,4.2
edshoepe,,4.22
craigh,,4.31
billyj,,4.37
schultzy,,4.42
rohlfing04,,4.45
rlweevo8,,4.57
carolinakid,,4.68
emily,,4.69
jpidarts,,4.81
andym,,4.92
bwalton,,5.17
baltimoreclipper,,5.29